cell_id,decimalLongitude,decimalLatitude,climate_class,detected,obs_type,log_total_records,n_events,relevance_ratio,recorder_relevance_ratio,recorder_dominance,n_years_with_records,recording_span,recent_activity,mean_coord_uncertainty,spatial_corroboration,national_presence,confirmation_prior
1497056,14.625,61.125,0,1,presence,11.7848058456983,12669,0.99836942442206,1,0.0607884671065665,125,162,1,752.21316914309,1,1,0.960219979286194
1561833,12.7083333333333,59.875,0,1,presence,9.40927319457533,386,0.978606557377049,1,0.178524590163934,54,147,1,748.76646151252,3,1,0.960219979286194
1561843,13.5416666666667,59.875,0,1,presence,9.8497175093263,907,0.99409033347404,0.988372093023256,0.146580835795694,91,139,1,457.629439982752,2,1,0.960219979286194
1570515,16.2083333333333,59.7083333333333,0,1,presence,11.8671253484723,17037,0.995389570745879,1,0.076524704743058,88,141,1,276.004291753702,4,1,0.960219979286194
1570533,17.7083333333333,59.7083333333333,0,1,presence,10.8750994559982,5466,0.992165471301781,0.952777777777778,0.092519349771966,146,198,1,876.511617515639,2,1,0.960219979286194
1574839,16.5416666666667,59.625,1,1,presence,11.752721589326,28139,0.996585312121355,1,0.0539977025602291,189,222,1,420.944783313449,4,1,0.960219979286194
1574840,16.625,59.625,1,1,presence,10.9111899658444,8240,0.998758784338779,0.997101449275362,0.0865200328557087,112,155,1,183.784345944213,4,1,0.960219979286194
1574841,16.7083333333333,59.625,1,1,presence,9.07738024471995,1899,0.999086132053918,0.990825688073395,0.209504226639251,103,181,1,286.852999649164,4,1,0.960219979286194
1579113,12.7083333333333,59.5416666666667,0,1,presence,9.06704720214971,603,0.965951061865189,1,0.30724838411819,78,194,1,955.063234072844,2,1,0.960219979286194
1587784,15.2916666666667,59.375,0,1,presence,9.95113420600348,4172,0.983980929678188,1,0.115375446960667,85,165,1,699.23518727603,1,1,0.960219979286194
1587819,18.2083333333333,59.375,0,1,presence,12.0833737970402,15551,0.997264068285238,0.974550898203593,0.0766569627766315,186,216,1,3073.9292270385,2,1,0.960219979286194
1613806,23.7916666666667,58.875,1,1,presence,8.74017672992908,1679,0.999199743918054,0.981818181818182,0.17381562099872,68,156,1,951.165217391304,1,0,0.100000001490116
1618039,16.5416666666667,58.7916666666667,0,1,presence,9.18522767116111,1049,0.974566711106553,0.973333333333333,0.21331145523536,64,158,1,496.943218997361,1,1,0.960219979286194
1622330,14.125,58.7083333333333,0,1,presence,9.46537011215271,1924,0.997752634841909,1,0.25379727216367,101,168,1,692.764177918983,1,1,0.960219979286194
1678540,18.2916666666667,57.625,0,1,presence,12.2867997343461,42030,0.992901749887,0.95850248082995,0.0456520335402695,200,226,1,574.662996185174,2,1,0.960219979286194
1682812,14.2916666666667,57.5416666666667,0,1,presence,9.53336545669996,1963,0.984506226469737,0.94392523364486,0.0949898638864755,84,159,1,1115.37060414788,1,1,0.960219979286194
